                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      28                  9.9999965751408137E-001                  1.3939294838809084E+000                  3.6109692099276383E+000                 -7.8525102404353877E+000                  3.5626448593759692E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      29                  9.9999960126034693E-001                  1.3938757291866559E+000                  3.6144995949417438E+000                 -7.8402969897302031E+000                  3.5784165528476559E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002 
                                      30                  9.9999954400849078E-001                  1.3938225181395218E+000                  3.6191334689998556E+000                 -7.8256025247662642E+000                  3.5977799287760424E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      31                  9.9999945622066977E-001                  1.3937436048362788E+000                  3.6240391208822222E+000                 -7.8116700346176540E+000                  3.6166519079281469E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      32                  9.9999939639588231E-001                  1.3936915020251635E+000                  3.6281363272460205E+000                 -7.8009403032126938E+000                  3.6315043767547142E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002 
                                      33                  9.9999933551004727E-001                  1.3936397506007789E+000                  3.6340167673536490E+000                 -7.7867438760556986E+000                  3.6516145343341559E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002 
                                      34                  9.9999922631547644E-001                  1.3935498788733600E+000                  3.6407681950281847E+000                 -7.7721839546531113E+000                  3.6729615308460257E+000                  7.0000000000000007E-001                  2.7999999999999992E-001                  2.0000000000000018E-002 
                                      35                  9.9999914629762499E-001                  1.3934861583401970E+000                  3.6460159555336840E+000                 -7.7617362909870957E+000                  3.6886835098466539E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      36                  9.9999908097729739E-001                  1.3934353581912207E+000                  3.6538252276140160E+000                 -7.7471384166412962E+000                  3.7111234529047632E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      37                  9.9999892962869530E-001                  1.3933214790502531E+000                  3.6635398637421113E+000                 -7.7301210543452985E+000                  3.7378739929390288E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
